=== Tab 1: Gradient Quality Metrics (mean ± std, N=200 draws) ===

Config              Epoch   cosim_mean  cosim_std  relMSE_mean   M4_cosim  sig_cap_k50
-------------------------------------------------------------------------------------
vanilla             1           0.0182     0.0008  1264437.6931     0.9367      22.3488
cc_k10_r3           1           0.0199     0.0008  1270917.5481     0.9389      25.4261
cc_k50_r3           1           0.0184     0.0009  1270665.4106     0.9396      23.2348
cc_k50_r10          1           0.0184     0.0008  1277318.7781     0.9259      24.3215
cc_k50_proj         1           0.0182     0.0008  1264610.8644     0.9098      24.4137
oracle              1           1.0000     0.0000       0.0000     1.0000       1.0000

vanilla             5           0.0189     0.0008  1265093.5456     0.8766      25.3206
cc_k10_r3           5           0.0211     0.0009  1271248.7688     0.8621      32.1419
cc_k50_r3           5           0.0196     0.0008  1271192.4219     0.8664      29.5281
cc_k50_r10          5           0.0190     0.0008  1277575.0444     0.8271      30.8912
cc_k50_proj         5           0.0184     0.0008  1265013.3613     0.8004      30.8609
oracle              5           1.0000     0.0000       0.0000     1.0000       1.0000

vanilla             10          0.0162     0.0008  527577.4094     0.7985      14.3589
cc_k10_r3           10          0.0168     0.0008  530152.9609     0.7997      17.6663
cc_k50_r3           10          0.0191     0.0008  530245.8919     0.8159      19.5475
cc_k50_r10          10          0.0188     0.0008  532919.1978     0.7842      20.5163
cc_k50_proj         10          0.0182     0.0008  527586.6828     0.7622      20.5357
oracle              10          1.0000     0.0000       0.0000     1.0000       1.0000

vanilla             20          0.0107     0.0008  339346.4600     0.7139       9.1694
cc_k10_r3           20          0.0149     0.0008  341064.0041     0.7138      16.7227
cc_k50_r3           20          0.0138     0.0008  341021.8678     0.7377      15.0600
cc_k50_r10          20          0.0135     0.0009  342837.8905     0.7042      15.7802
cc_k50_proj         20          0.0130     0.0008  339374.8755     0.6812      15.7309
oracle              20          1.0000     0.0000       0.0000     1.0000       1.0000

vanilla             30          0.0038     0.0008  341377.1820     0.4880      12.8952
cc_k10_r3           30          0.0018     0.0008  342906.9470     0.3384      14.7316
cc_k50_r3           30          0.0021     0.0008  342948.1122     0.3583      15.1804
cc_k50_r10          30          0.0013     0.0008  344708.1002     0.2535      15.4728
cc_k50_proj         30          0.0009     0.0008  341280.0395     0.1809      15.3449
oracle              30          1.0000     0.0000       0.0000     1.0000       1.0000
