Config           Epoch       cosim      ±std        M4  ||G_clip||
----------------------------------------------------------------------
vanilla              1    0.028874  0.000765    0.9779       38.19
batch_r2             1    0.049345  0.000784    0.9937       64.49
batch_r3             1    0.049217  0.000909    0.9972       64.21
batch_r5             1    0.049156  0.000877    0.9990       63.99
batch_r10            1    0.049274  0.000847    0.9997       63.87
batch_proj           1    0.049155  0.000843    1.0000       63.83

vanilla              5    0.011637  0.000796    0.8806       16.94
batch_r2             5    0.038290  0.000724    0.9949       49.98
batch_r3             5    0.038409  0.000868    0.9976       49.88
batch_r5             5    0.038339  0.000787    0.9991       49.78
batch_r10            5    0.038351  0.000789    0.9998       49.72
batch_proj           5    0.038241  0.000817    1.0000       49.71

vanilla             10    0.021310  0.000823    0.9694       28.50
batch_r2            10    0.048550  0.000827    0.9981       63.18
batch_r3            10    0.048702  0.000806    0.9991       63.22
batch_r5            10    0.048684  0.000813    0.9997       63.22
batch_r10           10    0.048615  0.000823    0.9999       63.23
batch_proj          10    0.048721  0.000821    1.0000       63.23

vanilla             20    0.006700  0.000795    0.6183       13.91
batch_r2            20    0.014676  0.000827    0.9771       19.27
batch_r3            20    0.014301  0.000850    0.9887       18.75
batch_r5            20    0.014260  0.000845    0.9954       18.49
batch_r10           20    0.014118  0.000838    0.9987       18.36
batch_proj          20    0.014139  0.000840    1.0000       18.32

vanilla             30    0.004309  0.000825    0.4515       12.41
batch_r2            30    0.008299  0.000790    0.8294       12.82
batch_r3            30    0.007802  0.000789    0.9006       11.26
batch_r5            30    0.007470  0.000854    0.9561       10.32
batch_r10           30    0.007546  0.000842    0.9873        9.89
batch_proj          30    0.007519  0.000760    1.0000        9.73
